GEOID,unique_id,race_imputed,imputation_probability,date,city,state,zip,county,highest_force,armed,Total_popE,NH_WhiteE,NH_BlackE,Hisp_LatinoE,IncomeE,income_quartile,income_quintile,income_percentile,income_bins_200,NH_WhiteP,NH_BlackP,Hisp_LatinoP,Majority
48245001302,29414,White,,2020-12-31,Beaumont,TX,77707,Jefferson,Gunshot,Armed,3570,765,1623,663,54736,2,2,39,77,0.21428571428571427,0.4546218487394958,0.18571428571428572,
12086007007,29415,Hispanic/Latino,,2020-12-31,Miami,FL,33133,Miami-Dade,Gunshot,Armed,1977,353,66,1205,46333,1,2,25,50,0.17855336368234698,0.03338391502276176,0.6095093576125442,Hispanic/Latino
42089301101,29404,Other/Unknown,,2020-12-30,Stroudsburg,PA,18360,Monroe,Gunshot,Armed,6375,4929,510,616,59438,2,3,46,92,0.7731764705882352,0.08,0.09662745098039216,White
27053109700,29406,Black,,2020-12-30,Minneapolis,MN,55407,Hennepin,Gunshot,Armed,2476,1580,203,520,86111,4,4,76,151,0.6381260096930533,0.08198707592891762,0.210016155088853,White
20173001400,29407,White,,2020-12-30,Wichita,KS,67203,Sedgwick,Gunshot,Armed,3571,2796,172,457,63068,3,3,51,102,0.782973956874825,0.04816577989358723,0.12797535704284513,White
16019970505,29409,Other/Unknown,,2020-12-30,Ammon,ID,83406,Bonneville,Gunshot,Armed,4863,4341,87,206,38243,1,1,14,28,0.8926588525601481,0.017890191239975324,0.04236068270614847,White
47085130300,29410,White,0.966773,2020-12-30,Waverly,TN,37185,Humphreys,Gunshot,Armed,5153,4720,176,176,40500,1,1,17,33,0.9159712788666796,0.03415486124587619,0.03415486124587619,White
54057010500,29411,Black,,2020-12-30,Keyser,WV,26726,Mineral,Gunshot,Unarmed,4307,3818,197,14,49656,2,2,30,60,0.886463895983283,0.04573949384722545,0.00325052240538658,White
36047089800,29399,Other/Unknown,,2020-12-29,Brooklyn,NY,11212,New York City,Gunshot,Armed,1907,57,1288,140,64444,3,3,53,106,0.029889879391714735,0.6754063974829575,0.07341373885684321,Black
13121006300,29390,Black,,2020-12-29,Atlanta,GA,30310,Fulton,Gunshot,Armed,1668,70,1499,29,36143,1,1,12,23,0.04196642685851319,0.8986810551558753,0.01738609112709832,Black
45019005400,29397,Black,,2020-12-29,Charleston,SC,29403,Charleston,Gunshot,Armed,2689,412,2222,19,31071,1,1,7,14,0.1532168092227594,0.8263294905169208,0.007065823726292302,Black
06099000601,29400,White,,2020-12-29,Modesto,CA,95358,Stanislaus,Gunshot,Unarmed,4520,1675,42,2239,80867,3,4,71,142,0.37057522123893805,0.009292035398230088,0.49535398230088495,
06071006304,29402,Black,,2020-12-29,Highland,CA,92410,San Bernardino,Gunshot,Armed,5833,1331,108,4021,44458,1,2,23,45,0.22818446768386766,0.01851534373392765,0.6893536773529916,Hispanic/Latino
41007951300,29383,White,0.970281,2020-12-28,Warrenton,OR,97146,Clatsop,Gunshot,Armed,2671,2476,15,97,81058,3,4,72,143,0.9269936353425683,0.005615874204417821,0.03631598652190191,White
25023510501,29384,Hispanic/Latino,,2020-12-28,Brockton,MA,02301,Plymouth,Gunshot,Armed,3644,1039,1576,217,75349,3,4,66,132,0.2851262349066959,0.43249176728869376,0.059549945115257956,
15003010305,29385,Other/Unknown,,2020-12-28,Kaneohe,HI,96744,Honolulu,Gunshot,Unarmed,5500,1051,8,630,118929,4,5,92,183,0.1910909090909091,0.0014545454545454545,0.11454545454545455,
04013116900,29386,Black,,2020-12-28,Phoenix,AZ,85017,Maricopa,Gunshot,Armed,2676,254,52,2294,41208,1,1,18,35,0.09491778774289986,0.01943198804185351,0.8572496263079222,Hispanic/Latino
08031004310,29387,Black,,2020-12-28,Denver,CO,80220,Denver,Gunshot,Unarmed,2481,1956,109,270,127706,4,5,94,187,0.788391777509069,0.04393389762192664,0.10882708585247884,White
04013106900,29392,White,0.613431,2020-12-28,Phoenix,AZ,85017,Maricopa,Gunshot,Unarmed,8708,2227,20,5722,60360,2,3,47,94,0.2557418465778594,0.0022967386311437757,0.6570969223702343,Hispanic/Latino
08095967600,29393,Other/Unknown,,2020-12-28,Holyoke,CO,80734,Phillips,Gunshot,Armed,3133,1900,0,1220,49526,2,2,30,60,0.6064474944142993,0,0.3894031279923396,White
06071010019,29394,Other/Unknown,,2020-12-28,Hesperia,CA,92345,San Bernardino,Gunshot,Armed,4738,1673,71,2734,53333,2,2,37,73,0.3531025749261292,0.0149852258336851,0.5770367243562685,Hispanic/Latino
16069961000,29379,White,,2020-12-27,Lewiston,ID,83501,Nez Perce,Gunshot,Armed,5736,5373,0,220,78171,3,4,69,137,0.9367154811715481,0,0.038354253835425386,White
13303950500,29380,Black,,2020-12-27,Davisboro,GA,31018,Washington,Gunshot,Armed,5551,2591,2484,322,41021,1,1,18,35,0.46676274545127006,0.447486939290218,0.058007566204287514,
09003502400,29378,Black,,2020-12-26,Hartford,CT,06114,Hartford,Gunshot,Armed,5698,756,680,4166,36714,1,1,12,24,0.13267813267813267,0.11934011934011934,0.7311337311337311,Hispanic/Latino
48201222702,29369,Black,,2020-12-25,Houston,TX,77032,Harris,Gunshot,Armed,4035,113,2772,763,28459,1,1,5,10,0.028004956629491946,0.6869888475836431,0.18909541511771996,Black
42101018801,29366,Hispanic/Latino,,2020-12-25,Philadelphia,PA,19134,Philadelphia,Gunshot,Armed,3972,602,289,3080,19409,1,1,2,3,0.1515609264853978,0.07275931520644512,0.7754279959718026,Hispanic/Latino
42101018801,29367,Hispanic/Latino,,2020-12-25,Philadelphia,PA,19134,Philadelphia,Gunshot,Unarmed,3972,602,289,3080,19409,1,1,2,3,0.1515609264853978,0.07275931520644512,0.7754279959718026,Hispanic/Latino
04023966110,29370,Hispanic/Latino,,2020-12-25,Rio Rico,AZ,85648,Santa Cruz,Gunshot,Armed,2910,195,0,2715,84162,3,4,74,148,0.06701030927835051,0,0.9329896907216495,Hispanic/Latino
47047060402,29361,Black,0.648259,2020-12-24,Oakland,TN,38060,Fayette,Gunshot,Armed,4122,2830,1118,52,72929,3,4,64,127,0.6865599223677826,0.2712275594371664,0.012615235322658904,White
06089010803,29364,White,,2020-12-24,Redding,CA,96003,Shasta,Gunshot,Armed,5799,4265,171,719,48403,2,2,28,56,0.7354716330401794,0.029487842731505433,0.12398689429211933,White
33007951100,29359,White,,2020-12-23,Dalton,NH,03598,Coos,Gunshot,Armed,3173,3061,19,20,51687,2,2,34,67,0.9647021745981721,0.005988023952095809,0.006303183107469272,White
